Time [s], RESP, PLETH, V, AVR, II
0,0.35386,0.43597,0.52549,0.30392,0.72549
0.008,0.35679,0.43206,0.51961,0.33529,0.67059
0.016,0.35875,0.42815,0.51569,0.37451,0.6098
0.024,0.36168,0.42424,0.50588,0.41961,0.55098
0.032,0.36364,0.42131,0.5098,0.44902,0.5
0.04,0.36559,0.41838,0.50588,0.48039,0.4549
0.048,0.36657,0.4174,0.51569,0.5098,0.4098
0.056,0.36852,0.41642,0.51569,0.51961,0.3902
0.064,0.36852,0.41544,0.51961,0.53529,0.37451
0.072,0.36852,0.41447,0.51961,0.5451,0.35882
0.08,0.36852,0.41251,0.52549,0.5451,0.3549
0.088,0.36755,0.41153,0.52549,0.5549,0.34902
0.096,0.36657,0.40958,0.53529,0.55098,0.3549
0.104,0.36559,0.40762,0.52941,0.5451,0.36471
0.112,0.36168,0.40665,0.52549,0.5451,0.3549
0.12,0.35875,0.40665,0.53529,0.5451,0.36471
0.128,0.35288,0.40665,0.52549,0.5451,0.37451
0.136,0.34702,0.40762,0.51961,0.53529,0.37059
0.144,0.34115,0.4086,0.51961,0.52941,0.3902
0.152,0.33431,0.4086,0.51961,0.52941,0.3902
0.16,0.32747,0.41056,0.51569,0.52941,0.3902
0.168,0.3216,0.41153,0.51961,0.51961,0.39412
0.176,0.31183,0.41153,0.51569,0.51961,0.40392
0.184,0.30303,0.41056,0.51961,0.51961,0.40392
0.192,0.29228,0.4086,0.51569,0.51961,0.4
0.2,0.28152,0.40665,0.51961,0.52549,0.39412
0.208,0.26882,0.40469,0.51569,0.52941,0.38431
0.216,0.25611,0.40469,0.51961,0.52941,0.38431
0.224,0.24242,0.40567,0.51569,0.52941,0.38039
0.232,0.22874,0.4086,0.51961,0.51961,0.3902
0.24,0.21799,0.41251,0.52941,0.51569,0.40392
0.248,0.20626,0.42033,0.5549,0.5,0.41961
0.256,0.19648,0.43206,0.56471,0.50588,0.41961
0.264,0.18768,0.45259,0.57451,0.49412,0.42549
0.272,0.17791,0.4741,0.5451,0.5,0.42549
0.28,0.16911,0.4956,0.52941,0.5098,0.4
0.288,0.16129,0.51808,0.5,0.51961,0.3902
0.296,0.15347,0.5347,0.4902,0.51569,0.40392
0.304,0.14663,0.55034,0.47451,0.51569,0.41961
0.312,0.14076,0.56403,0.47059,0.5,0.42941
0.32,0.13685,0.57576,0.47451,0.5,0.43529
0.328,0.13294,0.58456,0.49412,0.5098,0.42941
0.336,0.13001,0.59238,0.50588,0.51961,0.41569
0.344,0.1261,0.59629,0.51961,0.52549,0.4098
0.352,0.12414,0.59922,0.51569,0.51961,0.41569
0.36,0.12121,0.60117,0.51569,0.51961,0.41961
0.368,0.11926,0.60215,0.5549,0.52549,0.40392
0.376,0.11632,0.60313,0.6451,0.55098,0.34902
0.384,0.11437,0.60313,0.55098,0.38431,0.6549
0.392,0.11241,0.60117,0.052941,-0.092157,1.5039
0.4,0.11046,0.59824,-0.50196,-0.43725,1.5039
0.408,0.1085,0.59335,-0.41176,-0.05098,1.5039
0.416,0.10655,0.58553,0.2,0.4549,0.66078
